PM10,NO2,SO2,PM2.5,CO,O3
193.12,36.36,19.45,83,0.74,32.03
296.64,27.87,18,99.27,1.07,30.7
181.63,21.96,16.65,85.63,0.61,6.8
191.05,38.3,14.44,57.86,0.8,6.88
252.83,24.37,24.11,111.7,0.98,25.23
165.77,23.6,12,65.64,1.14,17
174.36,24.53,14.36,44.15,1.7,16.26
264.98,24.27,13.12,59,2.1,11.14
210.78,20.71,18.71,45.73,1.26,21.02
214.26,19.18,22.46,71.98,1.13,26.68
289.6,15.72,18.98,76.99,0.58,17.96
292.75,15.69,26.6,63.98,0.65,27.34
170.6,27.51,31.57,57.8,0.23,6.42
204.45,36.3,17.25,49.44,0.58,17.39
140.01,33.71,15.06,50.34,0.6,22.14
109.69,35.38,22.07,53.59,0.6,26.11
287.18,52.38,25,53.99,0.6,21.72
254.05,40.42,28.93,79.8,0.6,16.07
285.13,49.44,24.9,74.12,0.48,16.85
365.83,38.21,12.58,52.48,0.38,15.27
71.16,41.76,14.43,30.61,0.22,10.39
132.23,43.39,15.33,13.06,0.34,10.36
150.67,65.49,20.99,91.54,1.43,10.88
138.94,49.18,23.96,49.64,1.55,15.49
171.6,65.37,14.33,55.94,1.06,11.85
72.16,39.98,19.3,26.67,1.42,14.04
185.25,50.79,23.29,43.67,0.67,14.05
117.02,31.58,19.03,33.47,1.58,15.94
137.29,36.92,21.72,45.19,1.61,14.96
170.66,43.3,19.04,62.37,1.3,17.3
220.29,63.3,19.31,92.38,0.94,31.1
173.68,70.98,21.38,78.64,0.04,6.55
197.79,30.54,12.32,70.27,1.77,14.09
290.52,15.68,27.03,92.46,0.64,26.64
209.08,54.69,20.64,43.72,0.6,25.01
146,33.71,15.06,50.34,0.6,22.14
190.08,46.49,18.26,67.85,1.18,18.31
280.3,20.02,32.32,115.3,0.87,11.06
191.05,38.3,14.44,57.86,0.8,6.88
214.61,54.64,19.56,58.28,0.59,21.5
215.14,19.18,22.46,71.98,1.13,26.68
154.34,40.77,17.38,59.24,0.6,22.56
171.6,65.37,14.33,50.94,1.06,11.85
185.23,50.8,23.29,43.67,0.67,14.05
210.78,20.71,18.71,45.73,0.26,21.02
77.13,18.3,15.85,19.29,1.04,6.89
203.75,40.37,17.19,49.37,0.58,17.32
97.8,32.1,29.09,58.7,1.31,10.18
189.33,44.16,8.72,45.4,2.02,9.1
109.75,41.51,8.38,32.3,1.69,10.1
101.3,49.68,29.53,56.85,1.25,20.68
154.5,30.52,30.5,45.8,1.28,18.9
283,29.91,6.53,49.4,1.18,19.59
203.88,20.94,23.16,77.3,1.27,16.1
258.18,34.95,6.92,50.9,1.05,26.92
